Month,Downloads
2007-06,"24"
2007-07,"50"
2007-08,"39"
2007-09,"71"
2007-10,"63"
2007-11,"57"
2007-12,"67"
2008-01,"51"
2008-02,"20"
2008-03,"50"
2008-04,"52"
2008-05,"18"
2008-06,"67"
2008-07,"61"
2008-08,"29"
2008-09,"43"
2008-10,"35"
2008-11,"96"
2008-12,"59"
2009-01,"45"
2009-02,"101"
2009-03,"98"
2009-04,"56"
2009-05,"39"
2009-06,"52"
2009-07,"85"
2009-08,"50"
2009-09,"52"
2009-10,"86"
2009-11,"139"
2009-12,"114"
2010-01,"147"
2010-02,"60"
2010-03,"172"
2010-04,"77"
2010-05,"104"
2010-06,"113"
2010-07,"55"
2010-08,"66"
2010-09,"71"
2010-10,"80"
2010-11,"140"
2010-12,"55"
2011-01,"96"
2011-02,"60"
2011-03,"97"
2011-04,"152"
2011-05,"167"
2011-06,"120"
2011-07,"108"
2011-08,"206"
2011-09,"143"
2011-10,"90"
2011-11,"121"
2011-12,"58"
2012-01,"59"
2012-02,"129"
2012-03,"120"
2012-04,"151"
2012-05,"85"
2012-06,"104"
2012-07,"64"
2012-08,"51"
2012-09,"64"
2012-10,"80"
2012-11,"59"
2012-12,"91"
2013-01,"111"
2013-02,"84"
2013-03,"74"
2013-04,"83"
2013-05,"92"
2013-06,"128"
2013-07,"137"
2013-08,"52"
2013-09,"125"
2013-10,"115"
2013-11,"100"
2013-12,"59"
2014-01,"106"
2014-02,"88"
2014-03,"87"
2014-04,"125"
2014-05,"130"
2014-06,"233"
2014-07,"264"
2014-08,"64"
2014-09,"160"
2014-10,"155"
2014-11,"89"
2014-12,"139"
2015-01,"150"
2015-02,"108"
2015-03,"139"
2015-04,"128"
2015-05,"129"
2015-06,"108"
2015-07,"283"
2015-08,"231"
2015-09,"104"
2015-10,"79"
2015-11,"111"
2015-12,"84"
2016-01,"164"
2016-02,"198"
2016-03,"166"
2016-04,"136"
2016-05,"414"
2016-06,"372"
2016-07,"138"
2016-08,"175"
2016-09,"179"
2016-10,"56"
2016-11,"310"
2016-12,"67"
2017-01,"102"
2017-02,"121"
2017-03,"109"
2017-04,"229"
2017-05,"154"
2017-06,"90"
2017-07,"49"
2017-08,"47"
2017-09,"55"
2017-10,"63"
2017-11,"65"
2017-12,"19"
2018-01,"58"
2018-02,"37"
2018-03,"23"
2018-04,"256"
2018-05,"33"
2018-06,"4"
2018-07,"17"
2018-08,"9"
2018-09,"5"
2018-10,"7"
2018-11,"47"
2018-12,"5"
2019-01,"123"
2019-02,"45"
2019-03,"10"
2019-04,"8"
2019-05,"6"
2019-06,"5"
2019-07,"8"
2019-08,"5"
2019-09,"15"
2019-10,"6"
2019-11,"6"
2019-12,"7"
2020-01,"13"
2020-02,"4"
2020-03,"14"
2020-04,"10"
2020-05,"4"
